DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1709743567.160104
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/contrib/staticfiles/finders.py first seen with mtime 1709743567.1267707
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/sqlparse/filters/tokens.py first seen with mtime 1709743566.4034374
DEBUG 2024-03-12 19:33:27,239 autoreload File /usr/lib/python3.11/email/parser.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/pkg_resources/_vendor/packaging/__about__.py first seen with mtime 1709743542.3367662
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/sqlparse/cli.py first seen with mtime 1709743566.3967707
DEBUG 2024-03-12 19:33:27,239 autoreload File /usr/lib/python3.11/_weakrefset.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/backends/sqlite3/operations.py first seen with mtime 1709743567.1567707
DEBUG 2024-03-12 19:33:27,239 autoreload File /usr/lib/python3.11/lib-dynload/_sqlite3.cpython-311-x86_64-linux-gnu.so first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/pkg_resources/_vendor/pyparsing/actions.py first seen with mtime 1709743542.3400996
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/backends/base/validation.py first seen with mtime 1709743567.150104
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/apps/entry/urls.py first seen with mtime 1709744563.0969496
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/conf/locale/__init__.py first seen with mtime 1709743566.5067706
DEBUG 2024-03-12 19:33:27,239 autoreload File /usr/lib/python3.11/http/client.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1709743566.8134375
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/models/utils.py first seen with mtime 1709743567.1667707
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/middleware/cache.py first seen with mtime 1709743567.190104
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django_countries/templatetags/__init__.py first seen with mtime 1710205753.8246477
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/models/functions/__init__.py first seen with mtime 1709743567.170104
DEBUG 2024-03-12 19:33:27,239 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/core/checks/async_checks.py first seen with mtime 1709743567.130104
DEBUG 2024-03-12 19:33:27,240 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/forms/boundfield.py first seen with mtime 1709743567.1734374
DEBUG 2024-03-12 19:33:27,240 autoreload File /usr/lib/python3.11/asyncio/base_futures.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,240 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/core/serializers/python.py first seen with mtime 1709743567.1467707
DEBUG 2024-03-12 19:33:27,240 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/pkg_resources/_vendor/packaging/requirements.py first seen with mtime 1709743542.3400996
DEBUG 2024-03-12 19:33:27,240 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/forms/utils.py first seen with mtime 1709743567.1767707
DEBUG 2024-03-12 19:33:27,240 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/sqlparse/engine/statement_splitter.py first seen with mtime 1709743566.400104
DEBUG 2024-03-12 19:33:27,240 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/urls/resolvers.py first seen with mtime 1709743567.200104
DEBUG 2024-03-12 19:33:27,240 autoreload File /usr/lib/python3.11/lib-dynload/_random.cpython-311-x86_64-linux-gnu.so first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,240 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/core/checks/database.py first seen with mtime 1709743567.130104
DEBUG 2024-03-12 19:33:27,240 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django_countries/__init__.py first seen with mtime 1710205753.7846475
DEBUG 2024-03-12 19:33:27,240 autoreload File /usr/lib/python3.11/reprlib.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,240 autoreload File /usr/lib/python3.11/urllib/request.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,240 autoreload File /usr/lib/python3.11/asyncio/selector_events.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,240 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/backends/sqlite3/features.py first seen with mtime 1709743567.1567707
DEBUG 2024-03-12 19:33:27,240 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django_countries/filters.py first seen with mtime 1710205753.7846475
DEBUG 2024-03-12 19:33:27,240 autoreload File /usr/lib/python3.11/lib-dynload/math.cpython-311-x86_64-linux-gnu.so first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,240 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/contrib/staticfiles/utils.py first seen with mtime 1709743567.1267707
DEBUG 2024-03-12 19:33:27,240 autoreload File /usr/lib/python3.11/lib-dynload/_pickle.cpython-311-x86_64-linux-gnu.so first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,240 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/forms/fields.py first seen with mtime 1709743567.1734374
DEBUG 2024-03-12 19:33:27,240 autoreload File /usr/lib/python3.11/bisect.py first seen with mtime 1706544237.0
